"StateCode","CauseOfLossBusnIncome","TypeOfRisk","EQCovIndicatorBusnIncome","AgreedValueBusnIncome","ExtendedPeriodApplies","DisplayValue","DataValue"
"CW","Broad","Mining","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Not Applicable","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Rental Properties","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","Not Applicable","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Educational Institutions","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Manufacturing","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Mining","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Mining","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Not Applicable","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Special","Rental Properties","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","Not Applicable","No","100%","100%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","125%","125%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","No","Yes","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","No","Yes","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","No","Yes","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","50%","50%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","60%","60%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","70%","70%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","80%","80%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","90%","90%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","100%","100%"
"CW","Basic","Educational Institutions","No Coverage","No","Yes","125%","125%"
"CW","Basic","Educational Institutions","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Educational Institutions","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","50%","50%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","60%","60%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","70%","70%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","80%","80%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","90%","90%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","100%","100%"
"CW","Basic","Manufacturing","No Coverage","No","Yes","125%","125%"
"CW","Basic","Manufacturing","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Manufacturing","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","50%","50%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","60%","60%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","70%","70%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","80%","80%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","90%","90%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","100%","100%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","No","Yes","125%","125%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Mercantile and Non-manufacturing","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Mining","No Coverage","No","Yes","50%","50%"
"CW","Basic","Mining","No Coverage","No","Yes","60%","60%"
"CW","Basic","Mining","No Coverage","No","Yes","70%","70%"
"CW","Basic","Mining","No Coverage","No","Yes","80%","80%"
"CW","Basic","Mining","No Coverage","No","Yes","90%","90%"
"CW","Basic","Mining","No Coverage","No","Yes","100%","100%"
"CW","Basic","Mining","No Coverage","No","Yes","125%","125%"
"CW","Basic","Mining","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Mining","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Mining","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Mining","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Mining","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Mining","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Mining","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Not Applicable","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Rental Properties","No Coverage","No","Yes","50%","50%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","60%","60%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","70%","70%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","80%","80%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","90%","90%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","100%","100%"
"CW","Basic","Rental Properties","No Coverage","No","Yes","125%","125%"
"CW","Basic","Rental Properties","No Coverage","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","50%","50%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","60%","60%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","70%","70%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","80%","80%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","90%","90%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","100%","100%"
"CW","Basic","Rental Properties","No Coverage","Yes","Yes","125%","125%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","No","Yes","100%","100%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","Not Applicable","Yes","100%","100%"
"CW","Basic","Seasonal Leases with Monthly Limit","No Coverage","Yes","Yes","100%","100%"
"CW","Blanket Cause of Loss Applies","Combined Educational Institutes and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Manufacturing and Mercantile Operations","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Manufacturing and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Combined Mercantile and Rental Operations","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Educational Institutions","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Manufacturing","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Mercantile and Non-manufacturing","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Mining","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Blanket Cause of Loss Applies","Rental Properties","No Coverage","Blanket Agreed Value Option Applies","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","50%","50%"
"CW","Broad","Combined Educational Institutes and Rental Operations","No Coverage","No","Yes","60%","60%"
